text,audio_filepath,label
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_89.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_90.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_91.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_92.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_93.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_94.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_95.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_96.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_97.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_98.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_99.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_100.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_101.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_102.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_103.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_104.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_105.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_106.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_107.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_108.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_109.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_110.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_111.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_112.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_113.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_114.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_115.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_116.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_117.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_118.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_119.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_120.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_121.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_122.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_123.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_124.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_125.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_126.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_127.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_128.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_129.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_130.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_131.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_132.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_133.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_134.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_135.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_136.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_137.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_138.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_139.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_140.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_141.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_142.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_143.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_144.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_145.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_146.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_147.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_148.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_149.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_150.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_151.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_152.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_153.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_154.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_155.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_156.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_157.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_158.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_159.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_160.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_161.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_162.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_163.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_164.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_165.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_166.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_167.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_168.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_169.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_170.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_171.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_172.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_173.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_174.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_175.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_176.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_177.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_178.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_179.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_180.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_181.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_182.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_183.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_184.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_185.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_186.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_187.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_188.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_189.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_190.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_191.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_192.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_193.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_194.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_195.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_196.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_197.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_198.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_199.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_200.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_201.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_202.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_203.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_204.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_205.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_206.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_207.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_208.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_209.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_210.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_211.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_212.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_213.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_214.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_215.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_216.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_217.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_218.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_219.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_220.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_221.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_222.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_223.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_224.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_225.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_226.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_227.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_228.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_229.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_230.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_231.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_232.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_233.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_234.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_235.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_236.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_237.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_238.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_239.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_240.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_241.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_242.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_243.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_244.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_245.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_246.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_247.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_248.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_249.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_250.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_251.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_252.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_253.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_254.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_255.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_256.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_257.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_258.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_259.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_260.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_261.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_262.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_263.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_264.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_265.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_266.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_267.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_268.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_269.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_270.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_271.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_272.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_273.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_274.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_275.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_276.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_277.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_278.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_279.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_280.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_281.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_282.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_283.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_284.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_285.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_286.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_287.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_288.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_289.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_290.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_291.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_292.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_293.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_294.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_295.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_296.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_297.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_298.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_299.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_300.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_301.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_302.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_303.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_304.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_305.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_306.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_307.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_308.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_309.wav,0
I feel sad and empty inside. Nothing seems to matter anymore.,data/synthetic_audio/synthetic_audio_310.wav,1
I'm constantly worried about everything and can't relax.,data/synthetic_audio/synthetic_audio_311.wav,2
I'm feeling good today and everything is going well.,data/synthetic_audio/synthetic_audio_312.wav,0
